Viscosity,Torque
159.6, 88F3
159.6, 890A
214.6, 8A57
214.6, 8A8C
386.2, 8F50
386.2, 8F31
657.1, 96C7
657.1, 966F
1092.0, A211
1092.0, A128
199.7, 89DF
199.7, 8A33
199.7, 89F1
199.7, 89CB
199.7, 89B2
50.23, 85BC
50.23, 85DB
50.23, 85C0
50.23, 85A2
50.23, 85B8
96.95, 86D4
96.95, 86BC
96.95, 86CB
96.95, 86D7
159.6, 8858
159.6, 886C
159.6, 886A
260.8, 8B5D
260.8, 8B39
260.8, 8B22
377.5, 8E51
377.5, 8E6F
377.5, 8E27
657.10, 9572
657.10, 9595
657.10, 95E5
722.70, 97F6
722.70, 9891
722.70, 990E
722.70, 9842
